PLACA;DEPARTAMENTO;CIUDAD;SERVICIO
WDP412;CALDAS;ANSERMA;PUBLICO
REP411;VALLE;CALI;PARTICULAR
REP414;VALLE;CALI;PARTICULAR
VEP410;CALDAS;VILLAMARIA;PUBLICO
WGP418;RISARALDA;PEREIRA;PUBLICO
SIP416;MAGDALENA;CIENAGA;PUBLICO
EJP418;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
LJP411;ANTIOQUIA;ITAGUI;PARTICULAR
HKP415;RISARALDA;PEREIRA;PARTICULAR
LLP417;ANTIOQUIA;ITAGUI;PARTICULAR
WLP411;RISARALDA;LA VIRGINIA;PUBLICO
LMP418;ANTIOQUIA;BELLO;PARTICULAR
FPP414;TOLIMA;FRESNO;PARTICULAR
LPP417;SANTANDER;BARBOSA;PARTICULAR
SPP414;CUNDINAMARCA;CHIA;PUBLICO
GQP414;CUNDINAMARCA;GIRARDOT;PARTICULAR
FRP416;CUNDINAMARCA;MOSQUERA;PARTICULAR
IRP416;SANTANDER;SOCORRO;PARTICULAR
URP411;META;VILLAVICENCI;PUBLICO
HSP419;RISARALDA;LA VIRGINIA;PARTICULAR
KSP412;VALLE;GUACARI;PARTICULAR
GTP417;CAUCA;POPAYAN;PARTICULAR
FVP410;CUNDINAMARCA;FACATATIVA;PARTICULAR
BWP412;ANTIOQUIA;SABANETA;PARTICULAR
LWP414;ANTIOQUIA;ENVIGADO;PARTICULAR
VWP411;HUILA;NEIVA;PUBLICO
JXP415;HUILA;GARZON;PARTICULAR
ABQ414;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
ABQ416;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
ABQ417;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
DDQ410;CALDAS;LA DORADA;PARTICULAR
DDQ416;CALDAS;LA DORADA;PARTICULAR
HDQ413;CALDAS;CHINCHINA;PARTICULAR
NDQ414;VALLE;CALI;PARTICULAR
JEQ418;BOYACA;GUATEQUE;PARTICULAR
KEQ416;ANTIOQUIA;MEDELLIN;PARTICULAR
KEQ417;ANTIOQUIA;MEDELLIN;PARTICULAR
KEQ418;ANTIOQUIA;MEDELLIN;PARTICULAR
KEQ419;ANTIOQUIA;MEDELLIN;PARTICULAR
IFQ415;ANTIOQUIA;TURBO;PARTICULAR
FGQ414;CAQUETA;FLORENCIA;PARTICULAR
FGQ415;CAQUETA;FLORENCIA;PARTICULAR
WGQ417;RISARALDA;PEREIRA;PUBLICO
JIQ410;BOYACA;CHIQUINQUIRA;PARTICULAR
NIQ418;VALLE;BUGA;PARTICULAR
KJQ413;VALLE;GUACARI;PARTICULAR
KJQ419;VALLE;GUACARI;PARTICULAR
RJQ414;VALLE;ROLDANILLO;PARTICULAR
HKQ412;RISARALDA;PEREIRA;PARTICULAR
RLQ410;VALLE;ROLDANILLO;PARTICULAR
EMQ414;TOLIMA;ESPINAL;PARTICULAR
LOQ412;SANTANDER;BARBOSA;PARTICULAR
FPQ412;TOLIMA;FRESNO;PARTICULAR
EQQ415;VALLE;LA UNION;PARTICULAR
IRQ413;SANTANDER;SOCORRO;PARTICULAR
JRQ415;TOLIMA;HONDA;PARTICULAR
