RANGO_INICIAL;RANGO_FINAL;DEPARTAMENTO;CIUDAD;SERVICIO
LDA000;LDJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
LDK000;LDU999;CESAR;VALLEDUPAR;PARTICULAR
LDV000;LDZ999;ANTIOQUIA;LA ESTRELLA;PARTICULAR
LEA000;LEJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
LET000;LET499;AMAZONAS;LETICIA;PARTICULAR
LFA000;LFD999;ANTIOQUIA;BELLO;PARTICULAR
LFE000;LFE700;ANTIOQUIA;BOLIVAR;PARTICULAR
LFJ001;LFJ999;ANTIOQUIA;BELLO;PARTICULAR
LGC000;LGD400;ANTIOQUIA;RIONEGRO;PARTICULAR
LGG000;LGG200;ANTIOQUIA;TURBO;PARTICULAR
LGG201;LGG900;ANTIOQUIA;BELLO;PARTICULAR
LGG901;LGH100;ANTIOQUIA;TURBO;PARTICULAR
LGH101;LGI999;ANTIOQUIA;TURBO;PARTICULAR
LGJ001;LGJ200;ANTIOQUIA;PUERTO BERRI;PARTICULAR
LGJ201;LGJ800;ANTIOQUIA;BELLO;PARTICULAR
LHA000;LHA200;ANTIOQUIA;YARUMAL;PARTICULAR
LHA501;LHA999;CUNDINAMARCA;MINISTERIO T;PARTICULAR
LHG000;LHI999;ANTIOQUIA;MEDELLIN;PARTICULAR
LHJ001;LHJ999;ANTIOQUIA;YARUMAL;PARTICULAR
LIA000;LID000;ANTIOQUIA;MEDELLIN;PARTICULAR
LIJ000;LIJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
LIN000;LIO499;TOLIMA;LIBANO;PARTICULAR
LIW000;LIW499;CUNDINAMARCA;MINISTERIO T;PARTICULAR
LKA000;LKJ999;ANTIOQUIA;ITAGUI;PARTICULAR
LLA000;LLJ999;ANTIOQUIA;ITAGUI;PARTICULAR
LMA000;LMA000;ANTIOQUIA;ITAGUI;PARTICULAR
LMA001;LMD999;ANTIOQUIA;ITAGUI;PARTICULAR
LME000;LMI999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
LMJ000;LMJ999;ANTIOQUIA;ITAGUI;PARTICULAR
LNA000;LNA251;ANTIOQUIA;BELLO;PARTICULAR
LNA252;LNB150;ANTIOQUIA;ITAGUI;PARTICULAR
LNJ001;LNJ999;ANTIOQUIA;BELLO;PARTICULAR
LOK000;LOK999;CORDOBA;LORICA;PARTICULAR
LOL000;LOL999;CORDOBA;SAHAGUN;PARTICULAR
LSK000;LSL999;SANTANDER;BARBOSA;PARTICULAR
LTA000;LTC999;CUNDINAMARCA;VILLETA;PARTICULAR
LUA000;LUF999;VALLE;TULUA;PARTICULAR
LVA000;LVJ999;META;VILLAVICENCI;PARTICULAR
LVK000;LVK999;ANTIOQUIA;BOLIVAR;PARTICULAR
LVL000;LVN999;META;VILLAVICENCI;PARTICULAR
